binCenterName,extractedWeight,manualWeight,collectionTime,cleanedWeight
4. College of Alice and Peter Tan/RC4,2020,2020,19/2/2025 9:02,2020
6. Yale-NUS - 28 College Ave West,2360,2360,19/2/2025 9:07,2360
5. Yale-NUS - 12 College Ave West,2760,2760,19/2/2025 9:12,2760
NUS - Use for Reference Weight,120,120,22/2/2025 8:05,120
1. UTown Residence - South Tower,320,320,22/2/2025 8:07,320
2. UTown Residence - North Tower,560,560,22/2/2025 8:12,560
3. Tembusu/Cinnamon College,1080,1080,22/2/2025 8:16,1080
4. College of Alice and Peter Tan/RC4,1740,1740,22/2/2025 8:22,1740
6. Yale-NUS - 28 College Ave West,1940,1940,22/2/2025 8:25,1940
5. Yale-NUS - 12 College Ave West,2200,2200,22/2/2025 8:30,2200
NUS - Use for Reference Weight,520,520,23/2/2025 8:16,520
1. UTown Residence - South Tower,640,640,23/2/2025 8:18,640
2. UTown Residence - North Tower,840,840,23/2/2025 8:21,840
3. Tembusu/Cinnamon College,1100,1100,23/2/2025 8:25,1100
4. College of Alice and Peter Tan/RC4,1400,1400,23/2/2025 8:29,1400
6. Yale-NUS - 28 College Ave West,1640,1640,23/2/2025 8:32,1640
5. Yale-NUS - 12 College Ave West,1740,1740,23/2/2025 8:34,1740
NUS - Use for Reference Weight,260,260,24/2/2025 7:49,260
1. UTown Residence - South Tower,460,460,24/2/2025 7:51,460
2. UTown Residence - North Tower,680,680,24/2/2025 7:55,680
3. Tembusu/Cinnamon College,960,960,24/2/2025 7:58,960
3. Tembusu/Cinnamon College,960,960,24/2/2025 7:58,960
4. College of Alice and Peter Tan/RC4,1380,1380,24/2/2025 8:01,1380
6. Yale-NUS - 28 College Ave West,1520,1520,24/2/2025 8:06,1520
5. Yale-NUS - 12 College Ave West,1760,1760,24/2/2025 8:09,1760
NUS - Use for Reference Weight,760,760,25/2/2025 7:59,760
1. UTown Residence - South Tower,880,880,25/2/2025 8:01,880
2. UTown Residence - North Tower,1180,1180,25/2/2025 8:05,1180
3. Tembusu/Cinnamon College,1840,1840,25/2/2025 8:09,1840
4. College of Alice and Peter Tan/RC4,2320,2320,25/2/2025 8:14,2320
6. Yale-NUS - 28 College Ave West,2520,2520,25/2/2025 8:18,2520
NUS - Use for Reference Weight,100,100,26/2/2025 8:11,100
1. UTown Residence - South Tower,200,200,26/2/2025 8:14,200
2. UTown Residence - North Tower,420,420,26/2/2025 8:17,420
4. College of Alice and Peter Tan/RC4,1680,1680,26/2/2025 8:26,1680
6. Yale-NUS - 28 College Ave West,2080,2080,26/2/2025 8:30,2080
5. Yale-NUS - 12 College Ave West,2320,2320,26/2/2025 8:35,2320
NUS - Use for Reference Weight,180,180,28/2/2025 8:23,180
1. UTown Residence - South Tower,300,300,28/2/2025 8:26,300
2. UTown Residence - North Tower,580,580,28/2/2025 8:29,580
3. Tembusu/Cinnamon College,1060,1060,28/2/2025 8:32,1060
4. College of Alice and Peter Tan/RC4,1600,1600,28/2/2025 8:36,1600
6. Yale-NUS - 28 College Ave West,1840,1840,28/2/2025 8:38,1840
5. Yale-NUS - 12 College Ave West,2240,2240,28/2/2025 8:43,2240
NUS - Use for Reference Weight,220,220,1/3/2025 7:53,220
1. UTown Residence - South Tower,328,328,1/3/2025 7:56,320
1. UTown Residence - South Tower,660,660,1/3/2025 7:59,660
3. Tembusu/Cinnamon College,1160,1160,1/3/2025 8:04,1160
4. College of Alice and Peter Tan/RC4,1440,1440,1/3/2025 8:07,1440
6. Yale-NUS - 28 College Ave West,1600,1600,1/3/2025 8:11,1600
5. Yale-NUS - 12 College Ave West,1880,1880,1/3/2025 8:16,1880
NUS - Use for Reference Weight,560,560,2/3/2025 8:19,560
1. UTown Residence - South Tower,660,660,2/3/2025 8:21,660
2. UTown Residence - North Tower,6,6,2/3/2025 8:24,900
3. Tembusu/Cinnamon College,1240,1240,2/3/2025 8:27,1240
4. College of Alice and Peter Tan/RC4,1300,1300,2/3/2025 8:29,1300
6. Yale-NUS - 28 College Ave West,1440,1440,2/3/2025 8:34,1440
5. Yale-NUS - 12 College Ave West,1600,1600,2/3/2025 8:49,1600
NUS - Use for Reference Weight,80,80,3/3/2025 7:58,80
1. UTown Residence - South Tower,200,200,3/3/2025 8:00,200
2. UTown Residence - North Tower,420,420,3/3/2025 8:04,420
3. Tembusu/Cinnamon College,900,900,3/3/2025 8:07,900
3. Tembusu/Cinnamon College,1080,1080,3/3/2025 8:11,1080
4. College of Alice and Peter Tan/RC4,1440,1440,3/3/2025 8:16,1440
6. Yale-NUS - 28 College Ave West,1320,1320,3/3/2025 8:17,1320
5. Yale-NUS - 12 College Ave West,1520,1520,3/3/2025 8:19,1520
NUS - Use for Reference Weight,160,160,4/3/2025 8:01,160
1. UTown Residence - South Tower,280,280,4/3/2025 8:05,280
2. UTown Residence - North Tower,560,560,4/3/2025 8:06,560
3. Tembusu/Cinnamon College,1200,1200,4/3/2025 8:10,1200
4. College of Alice and Peter Tan/RC4,1780,1780,4/3/2025 8:15,1780
6. Yale-NUS - 28 College Ave West,2120,2120,4/3/2025 8:20,2120
5. Yale-NUS - 12 College Ave West,2400,2400,4/3/2025 8:25,2400
NUS - Use for Reference Weight,160,160,5/3/2025 7:59,160
1. UTown Residence - South Tower,320,320,5/3/2025 8:02,320
2. UTown Residence - North Tower,640,640,5/3/2025 8:04,640
3. Tembusu/Cinnamon College,1280,1280,5/3/2025 8:10,1280
4. College of Alice and Peter Tan/RC4,1820,1820,5/3/2025 8:15,1820
6. Yale-NUS - 28 College Ave West,2000,2000,5/3/2025 8:19,2000
5. Yale-NUS - 12 College Ave West,852,852,5/3/2025 8:24,2380
NUS - Use for Reference Weight,120,120,8/3/2025 7:57,120
1. UTown Residence - South Tower,340,340,8/3/2025 7:59,340
2. UTown Residence - North Tower,560,560,8/3/2025 8:03,560
3. Tembusu/Cinnamon College,86,86,8/3/2025 8:08,980
4. College of Alice and Peter Tan/RC4,1480,1480,8/3/2025 8:12,1480
6. Yale-NUS - 28 College Ave West,1760,1760,8/3/2025 8:17,1760
5. Yale-NUS - 12 College Ave West,2100,2100,8/3/2025 8:20,2100
NUS - Use for Reference Weight,580,580,9/3/2025 8:14,580
1. UTown Residence - South Tower,760,760,9/3/2025 8:17,760
2. UTown Residence - North Tower,1040,1040,9/3/2025 8:20,1040
3. Tembusu/Cinnamon College,1480,1480,9/3/2025 8:25,1480
4. College of Alice and Peter Tan/RC4,1920,1920,9/3/2025 8:30,1920
6. Yale-NUS - 28 College Ave West,2020,2020,9/3/2025 8:32,2020
5. Yale-NUS - 12 College Ave West,2220,2220,9/3/2025 8:39,2220
NUS - Use for Reference Weight,120,120,10/3/2025 7:41,120
1. UTown Residence - South Tower,22,22,10/3/2025 7:43,220
2. UTown Residence - North Tower,500,500,10/3/2025 7:45,500
3. Tembusu/Cinnamon College,940,940,10/3/2025 7:51,940
4. College of Alice and Peter Tan/RC4,1240,1240,10/3/2025 7:56,1240
6. Yale-NUS - 28 College Ave West,1440,1440,10/3/2025 7:59,1440
5. Yale-NUS - 12 College Ave West,1560,1560,10/3/2025 8:03,1560
NUS - Use for Reference Weight,1560,1560,11/3/2025 8:13,1560
1. UTown Residence - South Tower,1720,1720,11/3/2025 8:16,1720
2. UTown Residence - North Tower,2140,2140,11/3/2025 8:19,2140
3. Tembusu/Cinnamon College,2660,2660,11/3/2025 8:23,2660
4. College of Alice and Peter Tan/RC4,3120,3120,11/3/2025 8:28,3120
6. Yale-NUS - 28 College Ave West,3520,3520,11/3/2025 8:33,3520
5. Yale-NUS - 12 College Ave West,3740,3740,11/3/2025 8:37,3740
NUS - Use for Reference Weight,180,180,13/3/2025 8:06,180
1. UTown Residence - South Tower,260,260,13/3/2025 8:08,260
2. UTown Residence - North Tower,560,560,13/3/2025 8:10,560
3. Tembusu/Cinnamon College,1100,1100,13/3/2025 8:17,1100
4. College of Alice and Peter Tan/RC4,1460,1460,13/3/2025 8:20,1460
6. Yale-NUS - 28 College Ave West,1740,1740,13/3/2025 8:23,1740
5. Yale-NUS - 12 College Ave West,2200,2200,13/3/2025 8:28,2200
NUS - Use for Reference Weight,400,400,15/3/2025 7:50,400
1. UTown Residence - South Tower,560,560,15/3/2025 7:53,560
2. UTown Residence - North Tower,840,840,15/3/2025 7:55,840
3. Tembusu/Cinnamon College,1420,1420,15/3/2025 8:00,1420
4. College of Alice and Peter Tan/RC4,1800,1800,15/3/2025 8:03,1800
6. Yale-NUS - 28 College Ave West,2040,2040,15/3/2025 8:08,2040
5. Yale-NUS - 12 College Ave West,2440,2440,15/3/2025 8:14,2440
NUS - Use for Reference Weight,780,780,16/3/2025 8:12,780
1. UTown Residence - South Tower,880,880,16/3/2025 8:15,880
2. UTown Residence - North Tower,1120,1120,16/3/2025 8:18,1120
3. Tembusu/Cinnamon College,1440,1440,16/3/2025 8:21,1440
4. College of Alice and Peter Tan/RC4,1700,1700,16/3/2025 8:26,1700
6. Yale-NUS - 28 College Ave West,1860,1860,16/3/2025 8:29,1860
5. Yale-NUS - 12 College Ave West,1920,1920,16/3/2025 8:32,1920
